idx,id,valido_desde,valido_hasta,url,precio,moneda,expensas,tipo_unidad,area_m2_cubierta,area_m2_descubierta,area_m2_total,antiguedad,estado_edificio,ambientes,banos,estado,disposicion,orientacion,cocheras,latitud,longitud,image_url,imagen_path,dormitorios,geometry,index_right,barrio,comuna,antiguedad_cat,estado_num,log_precio
1201,18958010.0,2026-02-04 22:45:59.067275,,https://www.argenprop.com/departamento-en-alquiler-en-parque-chacabuco-1-ambiente--18958010,610000.0,ARS,262000.0,,57.0,0.0,57.0,25.1,,1.0,1.0,Excelente,,N,0.0,-34.64191,-58.43901,https://proxy.sosiva451.com/proxy/2F098605F490F69E2C721FC54784A50CE765CC0C092DC64DFD4769412066738B12F9697A2AA4A745DAABCD1E92EB9CFFDDF022D2202A04CF12A9E044AC9FAF9BF5751CFBD56513CF28C09DD8CF6FE243309F556AE92ED0DE2C271308C2C43C6B,images/18958010.jpg,,POINT (-6505400.8356630225 -4115323.9980189833),22.0,Parque Chacabuco,7.0,25,5,13.321214236149494
1710,18545950.0,2026-02-04 22:46:01.419525,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-2-ambientes--18545950,400000.0,ARS,130000.0,Departamento,43.0,0.0,43.0,40.0,,2.0,1.0,Bueno,Contrafrente,N,0.0,-34.6236,-58.42935,https://proxy.sosiva451.com/proxy/49B653431B6311DB85F9DB172CF4839A3E4931B357D9FCE3EBFC7E0ED10776D9A9349E5C1AB2AE26E2F4F727F71C5A3D4B6F9AFE916E4CBA0DF80DEF760F45777CAB3BA50E15C7523BE4D5BA7C0542A666F1D8B7A0862B4544FA467E8E019A68,images/18545950.jpg,,POINT (-6504325.48938196 -4112846.8089827485),7.0,Caballito,6.0,40,3,12.89921982609012
2050,18611146.0,2026-02-05 01:14:45.558247,,https://www.argenprop.com/departamento-en-alquiler-en-caballito-sur-2-ambientes--18611146,550000.0,ARS,120000.0,Departamento,45.0,0.0,45.0,45.0,,2.0,1.0,Excelente,Frente,,0.0,-34.62733,-58.43732,https://www.argenprop.com/static-content/64111681/437dd826-30bb-4e1a-892c-3b066115ee37_u_small.jpg,images/18611146.jpg,,POINT (-6505212.705723582 -4113351.4022743036),7.0,Caballito,6.0,45,5,13.217673557208654
2128,18445578.0,2026-02-05 01:14:45.825753,,https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-1-ambiente--18445578,1084000.0,ARS,315000.0,,38.0,0.0,38.0,39.80952380952381,,1.0,1.0,Muy Bueno,Lateral,S,0.0,-34.612797,-58.367764,https://www.argenprop.com/static-content/87554481/942da15f-f3cf-4892-9fb9-0955d1d69057_u_small.jpg,images/18445578.jpg,,POINT (-6497469.767221964 -4111385.5103086075),16.0,Monserrat,1.0,40,4,13.896168460981729
2466,18968700.0,2026-02-05 01:14:47.031454,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18968700,650000.0,ARS,191272.0,Departamento,33.0,3.0,36.0,32.0,,1.0,1.0,Excelente,Frente,E,0.0,-34.56541,-58.45942,https://www.argenprop.com/static-content/00786981/13cc87f8-529d-4a2b-91e5-c268c39ad844_u_small.jpg,images/18968700.jpg,,POINT (-6507672.866470112 -4104977.8173450264),4.0,Belgrano,13.0,32,5,13.38472764187182
2477,18938909.0,2026-02-05 01:14:47.062790,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18938909,650000.0,ARS,191272.0,Departamento,33.0,3.0,36.0,32.0,,1.0,1.0,Excelente,Frente,E,0.0,-34.56541,-58.45942,https://proxy.sosiva451.com/proxy/183ADCD50E23319F36F823CE10784FAED50230177017F4731BABD0921288ECCA62D7A3A62303AA8B97E9EBD636CD97533DB8AF7E7B7D1A83E9A9B9C8E3D6AB0E89E6C70BEEE30DF29B04FB3FF01180041A753CC112E0B4582038C0DEE849BBE4,images/18938909.jpg,,POINT (-6507672.866470112 -4104977.8173450264),4.0,Belgrano,13.0,32,5,13.38472764187182
2498,18670606.0,2026-02-05 01:14:47.158001,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18670606,700000.0,ARS,143200.0,Departamento,33.0,0.0,35.0,12.0,,1.0,1.0,Excelente,Contrafrente,,0.0,-34.56461,-58.45655,https://www.argenprop.com/static-content/60607681/eef7885d-a446-45bc-a8ac-d833d527385c_u_small.jpg,images/18670606.jpg,,POINT (-6507353.379531536 -4104869.672315306),4.0,Belgrano,13.0,12,5,13.458835614025542
4096,18941003.0,2026-02-06 00:52:04.625564,,https://www.argenprop.com/departamento-en-alquiler-en-belgrano-1-ambiente--18941003,650000.0,ARS,120000.0,Departamento,35.0,2.0,37.0,10.0,,1.0,1.0,Excelente,Contrafrente,NE,0.0,-34.56461,-58.45655,https://www.argenprop.com/static-content/30014981/ca7e6598-37c5-4545-870b-607f8aaa7aa9_u_small.jpg,images/18941003.jpg,1.0,POINT (-6507353.379531536 -4104869.672315306),4.0,Belgrano,13.0,10,5,13.38472764187182
4102,18930414.0,2026-02-06 00:52:04.657513,,https://www.argenprop.com/departamento-en-alquiler-en-puerto-madero-3-ambientes--18930414,3411337.0,USD,0.0,Departamento,104.0,0.0,104.0,13.444444444444445,,3.0,1.0,Excelente,Frente,,1.0,-34.61467,-58.36231,https://www.argenprop.com/static-content/41403981/b8024b91-ab35-47b5-ae8f-b8e014ed40ba_u_small.jpg,images/18930414.jpg,2.0,POINT (-6496862.630719178 -4111638.8533785464),26.0,Puerto Madero,1.0,13,5,15.04261485452703
4298,18995698.0,2026-02-09 13:20:58.759797,,https://www.argenprop.com/departamento-en-alquiler-en-recoleta-2-ambientes--18995698,1186552.0,USD,0.0,,37.0,0.0,37.0,23.0,,2.0,1.0,Excelente,Frente,N,0.0,-34.59136,-58.39451,https://proxy.sosiva451.com/proxy/35938A161108672B4139EF0834EB0C34C6493745B87A7793EB562F4DA98EEB4D9ECDD239FB81E3FBACD325508CA45B85A38D41F7F52E4A0523795F6A82023DF8F28610DA40A23E295A1EBE11C9080D5D15C04B93C6091BEA8AC9E6EAE1D2345AE73D5BE549C95F8679209A9E55D6DBA390A0FF031608855210B7DEE300B2A2EA2C8396A84377DD57089707735A74ADB8CA1DA928CB52666D6F9560C14B1A64E8,images/18995698.jpg,1.0,POINT (-6500447.118322722 -4108486.3361673863),27.0,Recoleta,2.0,23,5,13.986562180277717
4303,18995722.0,2026-02-09 13:20:58.823645,,https://www.argenprop.com/departamento-en-alquiler-en-barrio-norte-2-ambientes--18995722,1185068.81,USD,0.0,,37.0,0.0,37.0,33.0,,2.0,1.0,Excelente,Frente,N,0.0,-34.59136,-58.39451,https://proxy.sosiva451.com/proxy/9D63A61E3455F21A33576BBE1170D6A765E7C4BB17E222280F1E4839BA913C19709A1092A6A1FDB432E2166B251F3F691C76C6CFE509A31F2E0FFD861BB5A18A118D15E3CF68E20C5C9425688EC7C7C2B7305E37632C1952DCB021ED3ADD3C7A97E91D4FC9C2B6B4C7C75685FB36F02B0FF215E438A0A718FE1D27353F7386BADE8059DD853AD3E898CFCA3A7225127F4B12B37ECA8D5177A914B16AEB4825E4,images/18995722.jpg,1.0,POINT (-6500447.118322722 -4108486.3361673863),27.0,Recoleta,2.0,33,5,13.985311398376064
4369,18831222.0,2026-02-09 13:20:59.460407,,https://www.argenprop.com/departamento-en-alquiler-en-san-cristobal-2-ambientes--18831222,500000.0,ARS,0.0,Departamento,35.0,0.0,35.0,50.0,,2.0,1.0,Muy Bueno,Interno,NE,0.0,-34.62705,-58.3964,https://proxy.sosiva451.com/proxy/A3BACCE6435C713351F0AF9FADBDC89ED5DFA9797E5C73C8D093A7F140E088D9506320FE528B814B88C7E24548FE439CF695F24F7B6B56E410F619C2FB496133BD7C60ECAF5FE0226B2C9D59C1C6395206FA03B9047628F645BE3068E9860237,images/18831222.jpg,1.0,POINT (-6500657.51216032 -4113313.5231700325),30.0,San Cristobal,3.0,50,4,13.122363377404328
4424,18995727.0,2026-02-09 13:21:00.048656,,https://www.argenprop.com/departamento-en-alquiler-en-nunez-3-ambientes--18995727,1800000.0,ARS,180300.0,Departamento,64.0,7.0,70.0,6.0,,3.0,2.0,Excelente,Contrafrente,,1.0,-34.54448,-58.46209,https://proxy.sosiva451.com/proxy/15EEFC78FA3AB3693FD9FED7E530C092DB588817A00B46317654FFA91272FA5A7DBC7444E2DE6A5CB89178D0DFA3C2D9FEB51E41508395CF675F365BB4B7B9EC6CC8DD5E21FE2B0A88E728D6661F374796630D1816707AA8A0EA645104E401B0,images/18995727.jpg,2.0,POINT (-6507970.089510532 -4102148.8153150347),19.0,Nuñez,13.0,6,5,14.403297222866392
