id;url;precio;expensas;area_m2;dormitorios;antiguedad;puntaje_arg_prop;imagen_path;image_url;lat;lon;valido_desde;valido_hasta;geometry;index_right;barrio;comuna;ambientes;moneda;tipo_inmueble_departamento;tipo_inmueble_ph
17901511;https://www.argenprop.com/departamento-en-venta-en-mataderos-3-ambientes--17901511;34000;0.0;45.0;2 dorm.;50.0;0.0;images/17901511.jpg;https://www.argenprop.com/static-content/11510971/dd8b2b61-d8a2-4b0d-970b-3cd2f380bec5_u_small.jpg;-3.466.008;-5.850.312;2026-01-19 22:19:41.048135;;POINT (-6512537.5282177795 -4117782.7870009616);15.0;Mataderos;9.0;3;usd;True;False
15805013;https://www.argenprop.com/ph-en-venta-en-mataderos-1-ambiente--15805013;48000;0.0;20.0;0;3.361.702.127.659.570;2.0;images/15805013.jpg;https://www.argenprop.com/static-content/31050851/fbc1b64d-9c60-441d-afcb-963613f5a66e_u_small.jpg;-3.466.287;-5.850.913;2026-01-19 22:21:18.457352;;POINT (-6513206.5583574455 -4118160.3813150157);15.0;Mataderos;9.0;1;usd;False;True
15590103;https://www.argenprop.com/departamento-en-venta-en-mataderos-2-ambientes--15590103;50000;0.0;34.0;1 dorm.;20.0;0.0;images/15590103.jpg;https://www.argenprop.com/static-content/30109551/8ed87e68-57e8-4545-bf3f-d78432eb560c_u_small.jpg;-34.661.663;-58.510.513;2026-01-19 22:21:48.947324;;POINT (-6513360.5132132135 -4117997.0262288735);15.0;Mataderos;9.0;2;usd;True;False
15996679;https://www.argenprop.com/ph-en-venta-en-mataderos-2-ambientes--15996679;50000;0.0;34.0;1 dorm.;40.0;0.0;images/15996679.jpg;https://www.argenprop.com/static-content/97669951/89389cb6-5322-467b-8052-55b95dd82dcb_u_small.jpg;-3.466.171;-58.510.548;2026-01-19 22:21:52.182353;;POINT (-6513364.409395391 -4118003.3871529065);15.0;Mataderos;9.0;2;usd;False;True
17990716;https://www.argenprop.com/departamento-en-venta-en-mataderos-2-ambientes--17990716;64900;0.0;40.0;1 dorm.;3.361.702.127.659.570;2502.0;images/17990716.jpg;https://www.argenprop.com/static-content/61709971/a55f3951-ff47-4529-933d-b1efb6ae0c2b_u_small.jpg;-3.466.031;-5.850.856;2026-01-19 01:57:36.295001;;POINT (-6513143.106247695 -4117813.914366822);15.0;Mataderos;9.0;2;usd;True;False
18517543;https://www.argenprop.com/departamento-en-venta-en-villa-crespo-1-ambiente--18517543;68000;80000.0;30.0;1 dorm.;8.0;12942.0;images/18517543.jpg;https://www.argenprop.com/static-content/34571581/a870f51b-77a0-4304-bde2-48fe9bd22690_u_small.jpg;-3.459.574;-5.844.755;2026-01-19 01:57:04.169486;;POINT (-6506351.504114396 -4109078.63354294);35.0;Villa Crespo;15.0;2;usd;True;False
15221595;https://www.argenprop.com/departamento-en-venta-en-san-cristobal-2-ambientes--15221595;70000;24000.0;35.0;1 dorm.;5.0;0.0;images/15221595.jpg;https://proxy.sosiva451.com/proxy/A6269EE7072F74679E7D9FF62EF2B5F7CE7328DE52772550E1008186564E7895DDF32513743340E05A61EA512B7ACE76AEA594082690D4DA295B8F41C2E12AD5460E3F58CC66D4210E120DB09754DC63E99E7B706D1E715D5D7D8CD561B8C5AD;-3.462.529;-5.839.115;2026-01-17 23:35:39.574875;;POINT (-6500073.0848336555 -4113075.428870147);11.0;Constitucion;1.0;2;usd;True;False
18833876;https://www.argenprop.com/departamento-en-venta-en-caballito-3-ambientes--18833876;169000;118000.0;44.0;2 dorm.;2.0;3200.0;images/18833876.jpg;https://www.argenprop.com/static-content/67833881/103a8a7b-995c-4923-bf63-ad75b3a9045a_u_small.jpg;-3.462.695;-5.843.486;2026-01-19 01:57:26.681985;;POINT (-6504938.85977623 -4113299.994949487);7.0;Caballito;6.0;3;usd;True;False
18262577;https://www.argenprop.com/departamento-en-venta-en-palermo-soho-3-ambientes--18262577;175000;160000.0;46.0;2 dorm.;50.0;1240.0;images/18262577.jpg;https://www.argenprop.com/static-content/77526281/e27fff65-d0bb-4d51-ac77-9d533ab64211_u_small.jpg;-345.907;-5.843.514;2026-01-19 01:58:27.936294;;POINT (-6504970.029233652 -4108397.0885851155);20.0;Palermo;14.0;3;usd;True;False
17692807;https://www.argenprop.com/departamento-en-venta-en-barrio-norte-4-ambientes--17692807;179000;373000.0;88.0;3 dorm.;55.0;4244.0;images/17692807.jpg;https://www.argenprop.com/static-content/70829671/b52d22ac-d672-437c-8d18-27377ec55a90_u_small.jpg;-34.595.097;-583.994;2026-01-19 01:57:16.363534;;POINT (-6500991.4706327 -4108991.680168829);27.0;Recoleta;2.0;4;usd;True;False
18524661;https://www.argenprop.com/departamento-en-venta-en-villa-ortuzar-2-ambientes--18524661;187481;0.0;46.0;1 dorm.;33.32;0.0;images/18524661.jpg;https://proxy.sosiva451.com/proxy/25AEE02A560D7207156E71C7E0BFF21E7DA22D214A791448B1FF6A4327FA8505A2B19A654BF3873E0B696C57C4CAA0323161FDD539FC0C0AC0FF62A2940F76BC6499F3973F5E0376716815C461056C65156495A60D849C6004AD4A6818BB94D2;-3.458.049;-584.609;2026-01-17 23:35:41.742355;;POINT (-6507837.619316487 -4107016.545832863);41.0;Villa Ortuzar;15.0;2;usd;True;False
17797337;https://www.argenprop.com/ph-en-venta-en-caballito-4-ambientes--17797337;249000;0.0;137.0;3 dorm.;50.0;1703.0;images/17797337.jpg;https://www.argenprop.com/static-content/73379771/1683e461-4e55-4021-9484-1671d821d2ff_u_small.jpg;-34.626.488;-58.435.184;2026-01-19 01:57:57.458555;;POINT (-6504974.927291248 -4113237.494782233);7.0;Caballito;6.0;4;usd;False;True
17614893;https://www.argenprop.com/departamento-en-venta-en-villa-urquiza-3-ambientes--17614893;390000;167500.0;88.0;2 dorm.;2.546.551.724.137.930;3000.0;images/17614893.jpg;https://www.argenprop.com/static-content/39841671/bf5b1b07-6fa4-4f03-974a-d9748362390e_u_small.jpg;-3.457.841;-5.849.145;2026-01-19 01:57:28.973809;;POINT (-6511238.42976022 -4106735.3199163303);47.0;Villa Urquiza;12.0;3;usd;True;False
